Date,Open,High,Low,Close,Volume,Open Interest
5/9/2019 0:00,950.66,953.66,944.91,947.01,1.15E+08,70665
5/10/2019 0:00,950.37,953.92,947.85,952.55,1.18E+08,66734
5/13/2019 0:00,952.11,958.54,951.76,958.54,1.25E+08,77901
5/14/2019 0:00,952.13,965.34,952.13,965.34,1.35E+08,81494
5/15/2019 0:00,967.95,977.65,967.95,975.64,1.54E+08,93688
5/16/2019 0:00,976.96,981.22,975.69,975.69,1.30E+08,79949
5/17/2019 0:00,977.85,980.04,974.91,976.48,1.20E+08,74067
5/20/2019 0:00,975.95,987.13,974.47,987.13,1.34E+08,81970
5/21/2019 0:00,989.67,992.84,986.07,986.29,1.25E+08,83857
5/22/2019 0:00,986.66,992.26,982.68,983.78,1.27E+08,77852
5/23/2019 0:00,982,984.57,977.17,982.71,1.08E+08,71705
5/24/2019 0:00,976.59,983.14,970.03,970.03,1.28E+08,86919
5/27/2019 0:00,970.73,975.4,970.41,975.14,9.59E+07,62420
5/28/2019 0:00,977.02,978.8,969.51,972,1.21E+08,79953
5/29/2019 0:00,973.31,974.96,969.55,971.54,1.20E+08,82844
5/30/2019 0:00,971.01,974.56,967.21,969.34,1.06E+08,67508
5/31/2019 0:00,968.53,969.94,959.88,959.88,1.14E+08,76000
6/3/2019 0:00,953.58,955.78,940.28,946.47,1.42E+08,87462
6/4/2019 0:00,945.62,951.42,943.21,951.16,1.03E+08,68167
6/5/2019 0:00,955.8,958.39,951.39,951.41,9.54E+07,57731
6/6/2019 0:00,950.57,951.35,939.35,948.21,1.01E+08,59808
6/7/2019 0:00,951.64,958.28,950.94,958.28,9.78E+07,62532
6/10/2019 0:00,963.78,966.9,958.6,962.9,1.19E+08,72827
6/11/2019 0:00,962.43,964.81,959.98,962.07,9.57E+07,65201
6/12/2019 0:00,960.6,960.6,953.83,954.17,1.00E+08,63017
6/13/2019 0:00,951.26,952.06,946.29,950.08,9.85E+07,64908
6/14/2019 0:00,948.65,954.7,948.65,953.61,1.15E+08,66137
6/17/2019 0:00,953.97,955.18,944.47,946.95,1.05E+08,65741
6/18/2019 0:00,945.73,947.3,938.95,944.01,1.08E+08,66460
6/19/2019 0:00,948.92,950.04,946.83,949.69,1.14E+08,67804
6/20/2019 0:00,949.48,962.33,948.97,959.18,1.29E+08,76667
6/21/2019 0:00,962.69,964.52,959.12,959.2,1.73E+08,66730
6/24/2019 0:00,960.29,967.11,959.8,962.85,1.13E+08,68562
6/25/2019 0:00,961.19,963.23,960.06,960.13,1.21E+08,66014
6/26/2019 0:00,958.6,962.7,958.38,959.13,1.19E+08,68960
6/27/2019 0:00,959.48,959.48,943.11,943.11,1.23E+08,70193
6/28/2019 0:00,944.53,949.94,939.12,949.94,1.22E+08,72431
7/1/2019 0:00,958.92,965.61,957.66,965.61,1.23E+08,78122
7/2/2019 0:00,964.77,966.76,959.8,961.98,1.08E+08,68713
7/3/2019 0:00,960.44,961.67,956.91,960.39,1.14E+08,71846
7/4/2019 0:00,961.78,973.04,961.65,973.04,1.35E+08,82298
7/5/2019 0:00,972.74,975.34,970.16,975.34,1.17E+08,70257
7/8/2019 0:00,972.83,972.83,963.84,966.35,1.19E+08,78341
7/9/2019 0:00,965.24,969.05,963.05,969.05,1.26E+08,76319
7/10/2019 0:00,971.19,974.96,971.19,973.65,1.25E+08,83134
7/11/2019 0:00,976.95,980.02,975.03,978.63,1.34E+08,80075
7/12/2019 0:00,980.11,982.1,974.32,975.4,1.33E+08,83239
7/15/2019 0:00,975.57,975.66,970.93,972.53,1.18E+08,79293
7/16/2019 0:00,975.05,982.11,975.05,982.11,1.42E+08,91019
7/17/2019 0:00,981.49,985.59,979.05,982.57,1.42E+08,91595
7/18/2019 0:00,979.16,979.49,975.01,976.05,1.27E+08,76216
7/19/2019 0:00,978.12,986.12,978.12,982.34,1.61E+08,91474
7/22/2019 0:00,981.17,985.13,980.08,982.04,1.35E+08,83234
7/23/2019 0:00,981.38,990.45,980.22,989.46,1.35E+08,84554
7/24/2019 0:00,993.01,994.85,986.34,988.41,1.33E+08,83967
